sn,population,elite_rate,crossover,mutation_rate,mutation_change,filename,error,generations
116,4,0.5,0.125,0.2,0.16,./data/models/0_0_4_3_1.csv,0.005872521575310588,41
117,4,0.5,0.25,0.2,0.16,./data/models/0_0_4_3_2.csv,0.005870733092825582,43
118,4,0.5,0.375,0.2,0.16,./data/models/0_0_4_3_3.csv,0.005871508251009563,45
119,4,0.5,0.5,0.2,0.16,./data/models/0_0_4_3_4.csv,0.005871733024366275,38
120,4,0.5,0.0,0.2,0.21,./data/models/0_0_4_4_0.csv,0.0058715132563957615,39
121,4,0.5,0.125,0.2,0.21,./data/models/0_0_4_4_1.csv,0.0058706822195350086,49
122,4,0.5,0.25,0.2,0.21,./data/models/0_0_4_4_2.csv,0.005871082052034139,31
123,4,0.5,0.375,0.2,0.21,./data/models/0_0_4_4_3.csv,0.0058706402489318655,31
124,4,0.5,0.5,0.2,0.21,./data/models/0_0_4_4_4.csv,0.0058707199310149985,36
125,14,0.5,0.0,0.0,0.01,./data/models/0_1_0_0_0.csv,0.00587065380665538,47
126,14,0.5,0.125,0.0,0.01,./data/models/0_1_0_0_1.csv,0.005870084316573083,17
127,14,0.5,0.25,0.0,0.01,./data/models/0_1_0_0_2.csv,0.005870513305240479,44
128,14,0.5,0.375,0.0,0.01,./data/models/0_1_0_0_3.csv,0.005870098424214402,23
129,14,0.5,0.5,0.0,0.01,./data/models/0_1_0_0_4.csv,0.005870080072647068,48
130,14,0.5,0.0,0.0,0.06,./data/models/0_1_0_1_0.csv,0.005870365714217286,15
131,14,0.5,0.125,0.0,0.06,./data/models/0_1_0_1_1.csv,0.0058702350997982145,38
132,14,0.5,0.25,0.0,0.06,./data/models/0_1_0_1_2.csv,0.005870203048782067,8
133,14,0.5,0.375,0.0,0.06,./data/models/0_1_0_1_3.csv,0.005870318262726842,49
134,14,0.5,0.5,0.0,0.06,./data/models/0_1_0_1_4.csv,0.0058703546819979975,17
135,14,0.5,0.0,0.0,0.11,./data/models/0_1_0_2_0.csv,0.005876883194260177,23
136,14,0.5,0.125,0.0,0.11,./data/models/0_1_0_2_1.csv,0.005870377438944393,48
137,14,0.5,0.25,0.0,0.11,./data/models/0_1_0_2_2.csv,0.005871706211811574,34
138,14,0.5,0.375,0.0,0.11,./data/models/0_1_0_2_3.csv,0.005870444727449655,47
139,14,0.5,0.5,0.0,0.11,./data/models/0_1_0_2_4.csv,0.0058715808286761186,22
140,14,0.5,0.0,0.0,0.16,./data/models/0_1_0_3_0.csv,0.005874000233374759,8
141,14,0.5,0.125,0.0,0.16,./data/models/0_1_0_3_1.csv,0.005887276074049983,49
142,14,0.5,0.25,0.0,0.16,./data/models/0_1_0_3_2.csv,0.00587100270090513,22
143,14,0.5,0.375,0.0,0.16,./data/models/0_1_0_3_3.csv,0.005877852037375729,30
144,14,0.5,0.5,0.0,0.16,./data/models/0_1_0_3_4.csv,0.0058709350770356356,27
145,14,0.5,0.0,0.0,0.21,./data/models/0_1_0_4_0.csv,0.0058791722369233865,9
146,14,0.5,0.125,0.0,0.21,./data/models/0_1_0_4_1.csv,0.005885907633648377,14
147,14,0.5,0.25,0.0,0.21,./data/models/0_1_0_4_2.csv,0.005876139323414084,25
148,14,0.5,0.375,0.0,0.21,./data/models/0_1_0_4_3.csv,0.005873412828748808,33
149,14,0.5,0.5,0.0,0.21,./data/models/0_1_0_4_4.csv,0.005871454506559547,14
150,14,0.5,0.0,0.05,0.01,./data/models/0_1_1_0_0.csv,0.0058702854078959915,49
151,14,0.5,0.125,0.05,0.01,./data/models/0_1_1_0_1.csv,0.005870370752261831,44
152,14,0.5,0.25,0.05,0.01,./data/models/0_1_1_0_2.csv,0.005870135888177378,33
153,14,0.5,0.375,0.05,0.01,./data/models/0_1_1_0_3.csv,0.005870103970381589,19
154,14,0.5,0.5,0.05,0.01,./data/models/0_1_1_0_4.csv,0.005870188671970336,14
155,14,0.5,0.0,0.05,0.06,./data/models/0_1_1_1_0.csv,0.005870565684672087,18
156,14,0.5,0.125,0.05,0.06,./data/models/0_1_1_1_1.csv,0.0058708538988201655,38
157,14,0.5,0.25,0.05,0.06,./data/models/0_1_1_1_2.csv,0.0058703629348358325,24
158,14,0.5,0.375,0.05,0.06,./data/models/0_1_1_1_3.csv,0.005871351018754433,26
159,14,0.5,0.5,0.05,0.06,./data/models/0_1_1_1_4.csv,0.005871040426916255,41
160,14,0.5,0.0,0.05,0.11,./data/models/0_1_1_2_0.csv,0.005870900130008781,23
161,14,0.5,0.125,0.05,0.11,./data/models/0_1_1_2_1.csv,0.005870392890054705,30
162,14,0.5,0.25,0.05,0.11,./data/models/0_1_1_2_2.csv,0.005871259987094292,32
163,14,0.5,0.375,0.05,0.11,./data/models/0_1_1_2_3.csv,0.005870858502405843,22
164,14,0.5,0.5,0.05,0.11,./data/models/0_1_1_2_4.csv,0.005870802505323683,41
165,14,0.5,0.0,0.05,0.16,./data/models/0_1_1_3_0.csv,0.005871856577261655,6
166,14,0.5,0.125,0.05,0.16,./data/models/0_1_1_3_1.csv,0.005870771273024733,4
167,14,0.5,0.25,0.05,0.16,./data/models/0_1_1_3_2.csv,0.005879791986328843,32
168,14,0.5,0.375,0.05,0.16,./data/models/0_1_1_3_3.csv,0.005871765939344634,10
169,14,0.5,0.5,0.05,0.16,./data/models/0_1_1_3_4.csv,0.005871893273049171,43
170,14,0.5,0.0,0.05,0.21,./data/models/0_1_1_4_0.csv,0.0058743234046457265,31
171,14,0.5,0.125,0.05,0.21,./data/models/0_1_1_4_1.csv,0.005873410265912733,49
172,14,0.5,0.25,0.05,0.21,./data/models/0_1_1_4_2.csv,0.005876183784330079,21
173,14,0.5,0.375,0.05,0.21,./data/models/0_1_1_4_3.csv,0.005870424519320798,47
174,14,0.5,0.5,0.05,0.21,./data/models/0_1_1_4_4.csv,0.0058713232028560795,39
175,14,0.5,0.0,0.1,0.01,./data/models/0_1_2_0_0.csv,0.005870310703618818,45
176,14,0.5,0.125,0.1,0.01,./data/models/0_1_2_0_1.csv,0.00587018040038541,41
177,14,0.5,0.25,0.1,0.01,./data/models/0_1_2_0_2.csv,0.0058700626983636305,4
178,14,0.5,0.375,0.1,0.01,./data/models/0_1_2_0_3.csv,0.005870245260331001,19
179,14,0.5,0.5,0.1,0.01,./data/models/0_1_2_0_4.csv,0.005870417687776906,47
180,14,0.5,0.0,0.1,0.06,./data/models/0_1_2_1_0.csv,0.00587037459232101,12
181,14,0.5,0.125,0.1,0.06,./data/models/0_1_2_1_1.csv,0.0058705312709145824,30
182,14,0.5,0.25,0.1,0.06,./data/models/0_1_2_1_2.csv,0.005870440449435218,16
183,14,0.5,0.375,0.1,0.06,./data/models/0_1_2_1_3.csv,0.005870616588148128,21
184,14,0.5,0.5,0.1,0.06,./data/models/0_1_2_1_4.csv,0.005870458079654906,11
185,14,0.5,0.0,0.1,0.11,./data/models/0_1_2_2_0.csv,0.005871023885932228,15
186,14,0.5,0.125,0.1,0.11,./data/models/0_1_2_2_1.csv,0.005870678808644787,34
187,14,0.5,0.25,0.1,0.11,./data/models/0_1_2_2_2.csv,0.005870502018318139,17
188,14,0.5,0.375,0.1,0.11,./data/models/0_1_2_2_3.csv,0.005870861920491003,18
189,14,0.5,0.5,0.1,0.11,./data/models/0_1_2_2_4.csv,0.005870806279584442,9
190,14,0.5,0.0,0.1,0.16,./data/models/0_1_2_3_0.csv,0.005875599840944951,18
191,14,0.5,0.125,0.1,0.16,./data/models/0_1_2_3_1.csv,0.005871551589971141,43
192,14,0.5,0.25,0.1,0.16,./data/models/0_1_2_3_2.csv,0.005870908148602125,39
193,14,0.5,0.375,0.1,0.16,./data/models/0_1_2_3_3.csv,0.005871693289269895,17
194,14,0.5,0.5,0.1,0.16,./data/models/0_1_2_3_4.csv,0.005870966958792917,33
195,14,0.5,0.0,0.1,0.21,./data/models/0_1_2_4_0.csv,0.0058764910726506235,18
196,14,0.5,0.125,0.1,0.21,./data/models/0_1_2_4_1.csv,0.005871238618234671,26
197,14,0.5,0.25,0.1,0.21,./data/models/0_1_2_4_2.csv,0.005873121158843554,34
198,14,0.5,0.375,0.1,0.21,./data/models/0_1_2_4_3.csv,0.005871669147622065,20
199,14,0.5,0.5,0.1,0.21,./data/models/0_1_2_4_4.csv,0.0058718030388149305,3
200,14,0.5,0.0,0.15,0.01,./data/models/0_1_3_0_0.csv,0.005870082855287458,48
201,14,0.5,0.125,0.15,0.01,./data/models/0_1_3_0_1.csv,0.005870097065938872,30
202,14,0.5,0.25,0.15,0.01,./data/models/0_1_3_0_2.csv,0.005870258762807985,41
203,14,0.5,0.375,0.15,0.01,./data/models/0_1_3_0_3.csv,0.0058701675958454805,10
204,14,0.5,0.5,0.15,0.01,./data/models/0_1_3_0_4.csv,0.0058701084121453775,46
205,14,0.5,0.0,0.15,0.06,./data/models/0_1_3_1_0.csv,0.005870583029802748,49
206,14,0.5,0.125,0.15,0.06,./data/models/0_1_3_1_1.csv,0.005870301371253414,14
207,14,0.5,0.25,0.15,0.06,./data/models/0_1_3_1_2.csv,0.005870286830565071,15
208,14,0.5,0.375,0.15,0.06,./data/models/0_1_3_1_3.csv,0.005870333405666568,24
209,14,0.5,0.5,0.15,0.06,./data/models/0_1_3_1_4.csv,0.005870696462965818,40
210,14,0.5,0.0,0.15,0.11,./data/models/0_1_3_2_0.csv,0.0058703613829625655,43
211,14,0.5,0.125,0.15,0.11,./data/models/0_1_3_2_1.csv,0.00587028387783641,17
212,14,0.5,0.25,0.15,0.11,./data/models/0_1_3_2_2.csv,0.005870263676964757,22
213,14,0.5,0.375,0.15,0.11,./data/models/0_1_3_2_3.csv,0.005870130065151846,41
214,14,0.5,0.5,0.15,0.11,./data/models/0_1_3_2_4.csv,0.005870266491899033,31
215,14,0.5,0.0,0.15,0.16,./data/models/0_1_3_3_0.csv,0.0058706318705389615,16
216,14,0.5,0.125,0.15,0.16,./data/models/0_1_3_3_1.csv,0.005870988923798038,7
217,14,0.5,0.25,0.15,0.16,./data/models/0_1_3_3_2.csv,0.005870354601572201,24
218,14,0.5,0.375,0.15,0.16,./data/models/0_1_3_3_3.csv,0.0058708748215149376,47
219,14,0.5,0.5,0.15,0.16,./data/models/0_1_3_3_4.csv,0.0058703703354949805,7
220,14,0.5,0.0,0.15,0.21,./data/models/0_1_3_4_0.csv,0.00587124628791746,22
221,14,0.5,0.125,0.15,0.21,./data/models/0_1_3_4_1.csv,0.005870874581398204,23
222,14,0.5,0.25,0.15,0.21,./data/models/0_1_3_4_2.csv,0.0058709723371823735,20
223,14,0.5,0.375,0.15,0.21,./data/models/0_1_3_4_3.csv,0.005870919517118442,8
224,14,0.5,0.5,0.15,0.21,./data/models/0_1_3_4_4.csv,0.0058705757133642586,35
225,14,0.5,0.0,0.2,0.01,./data/models/0_1_4_0_0.csv,0.005870606615212481,48
226,14,0.5,0.125,0.2,0.01,./data/models/0_1_4_0_1.csv,0.005870153060240976,23
227,14,0.5,0.25,0.2,0.01,./data/models/0_1_4_0_2.csv,0.005870150869972687,46
228,14,0.5,0.375,0.2,0.01,./data/models/0_1_4_0_3.csv,0.005870118879709263,21
229,14,0.5,0.5,0.2,0.01,./data/models/0_1_4_0_4.csv,0.005870389617474852,49
230,14,0.5,0.0,0.2,0.06,./data/models/0_1_4_1_0.csv,0.0058706840125624295,31
231,14,0.5,0.125,0.2,0.06,./data/models/0_1_4_1_1.csv,0.005870356026789565,15
232,14,0.5,0.25,0.2,0.06,./data/models/0_1_4_1_2.csv,0.0058701706843362796,11
233,14,0.5,0.375,0.2,0.06,./data/models/0_1_4_1_3.csv,0.005870074320986783,19
234,14,0.5,0.5,0.2,0.06,./data/models/0_1_4_1_4.csv,0.005870249052459315,48
235,14,0.5,0.0,0.2,0.11,./data/models/0_1_4_2_0.csv,0.005870897123886316,44
236,14,0.5,0.125,0.2,0.11,./data/models/0_1_4_2_1.csv,0.0058702473225203606,46
237,14,0.5,0.25,0.2,0.11,./data/models/0_1_4_2_2.csv,0.005870505284292235,10
238,14,0.5,0.375,0.2,0.11,./data/models/0_1_4_2_3.csv,0.005870399607104582,49
239,14,0.5,0.5,0.2,0.11,./data/models/0_1_4_2_4.csv,0.0058708781202204,11
240,14,0.5,0.0,0.2,0.16,./data/models/0_1_4_3_0.csv,0.005870600112591397,16
241,14,0.5,0.125,0.2,0.16,./data/models/0_1_4_3_1.csv,0.005871032741302051,12
242,14,0.5,0.25,0.2,0.16,./data/models/0_1_4_3_2.csv,0.005870844299211421,11
243,14,0.5,0.375,0.2,0.16,./data/models/0_1_4_3_3.csv,0.0058703868051273155,30
244,14,0.5,0.5,0.2,0.16,./data/models/0_1_4_3_4.csv,0.00587154642752641,31
245,14,0.5,0.0,0.2,0.21,./data/models/0_1_4_4_0.csv,0.005871085446662458,12
246,14,0.5,0.125,0.2,0.21,./data/models/0_1_4_4_1.csv,0.005870371669130557,30
247,14,0.5,0.25,0.2,0.21,./data/models/0_1_4_4_2.csv,0.005871075742101749,32
248,14,0.5,0.375,0.2,0.21,./data/models/0_1_4_4_3.csv,0.005870499993491514,34
249,14,0.5,0.5,0.2,0.21,./data/models/0_1_4_4_4.csv,0.00587085447004493,8
250,24,0.5,0.0,0.0,0.01,./data/models/0_2_0_0_0.csv,0.005870336357802765,43
251,24,0.5,0.125,0.0,0.01,./data/models/0_2_0_0_1.csv,0.005870600990344618,46
